Time,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyro roll rate,Gyro pitch rate,Gyro yaw rate,Longitude,Latitude,Ultrasonic (inches),Ultrasonic (cm)
2024-05-02 12:26:22,-1.31,-0.24,3.73,3.91,-18.76,0.73,30.154524,-1.932977,7,19
2024-05-02 12:26:25,-1.49,-0.11,4.00,3.28,-14.17,0.17,30.154467,-1.932956,7,19
2024-05-02 12:26:27,-1.83,-0.19,3.71,1.28,-12.72,4.15,30.154356,-1.932916,1,4
2024-05-02 12:26:30,-1.41,-0.05,4.91,-11.05,91.28,8.70,30.154255,-1.932881,0,1
2024-05-02 12:26:33,-1.72,-0.05,3.78,-1.98,10.90,3.18,30.154072,-1.932829,7,18
2024-05-02 12:26:36,-1.85,-0.37,3.93,1.79,-29.68,1.15,30.153862,-1.932781,7,20
2024-05-02 12:26:39,-1.44,-0.44,3.78,0.84,-3.44,5.47,30.153652,-1.932731,7,19
2024-05-02 12:26:41,-1.73,-0.39,3.26,-3.62,-1.05,4.75,30.153475,-1.932692,0,1
2024-05-02 12:26:44,-1.68,-0.47,3.88,-1.95,15.47,6.41,30.153383,-1.932677,0,2
2024-05-02 12:26:47,-1.50,-0.24,3.74,1.60,-11.59,-3.60,30.153265,-1.932680,7,19
2024-05-02 12:26:50,-1.86,-0.24,3.60,-5.16,8.61,-1.19,30.153111,-1.932700,7,19
2024-05-02 12:26:53,-2.17,0.20,3.76,5.13,-13.07,9.68,30.152887,-1.932716,7,19
2024-05-02 12:26:55,-1.31,-0.11,2.92,1.04,13.86,3.28,30.152637,-1.932770,0,2
2024-05-02 12:26:58,-1.26,0.02,3.75,-2.84,25.74,-0.60,30.152468,-1.932818,0,1
2024-05-02 12:27:01,-1.48,-0.42,4.09,16.66,-36.72,2.00,30.152248,-1.932905,7,20
2024-05-02 12:27:04,-1.99,-0.35,4.89,10.46,-34.44,-2.27,30.151983,-1.933013,7,20
2024-05-02 12:27:07,-1.93,-1.05,3.71,-11.08,2.60,-11.48,30.151661,-1.933094,8,21
2024-05-02 12:27:09,-2.05,0.31,3.67,0.18,25.53,3.94,30.151293,-1.933185,0,1
2024-05-02 12:27:12,-1.97,-0.37,3.28,6.14,-8.78,-4.49,30.151056,-1.933257,0,1
2024-05-02 12:27:15,-1.81,-0.45,1.84,-6.20,-9.22,0.95,30.150665,-1.933374,7,20
2024-05-02 12:27:18,-2.24,-0.28,4.37,3.86,-40.20,-1.05,30.150261,-1.933491,8,21
2024-05-02 12:27:21,-1.61,-0.09,1.86,9.63,-35.47,-0.08,30.149866,-1.933613,0,1
2024-05-02 12:27:23,-1.82,-0.37,2.21,10.02,-38.08,-0.49,30.149473,-1.933736,0,1
