Time,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyro roll rate,Gyro pitch rate,Gyro yaw rate,Longitude,Latitude,Ultrasonic (inches),Ultrasonic (cm)
5/2/2024 12:21,-1.4,-0.66,3.76,2.23,-5.4,0.44,30.158749,-1.934595,9,23
5/2/2024 12:21,-1.4,-0.66,3.77,2.26,-5.6,0.64,30.158743,-1.934608,0,1
5/2/2024 12:21,-1.4,-0.65,3.77,2.17,-5.62,0.72,30.158735,-1.934614,0,1
5/2/2024 12:21,-1.4,-0.67,3.79,2.06,-5.85,0.93,30.158728,-1.934618,9,23
5/2/2024 12:21,-1.4,-0.66,3.78,2.11,-4.78,1.01,30.158726,-1.934617,9,23
5/2/2024 12:21,-1.37,-0.67,3.77,2.12,-5.73,1.04,30.158724,-1.934615,1,5
5/2/2024 12:21,-1.42,-0.65,3.44,1.86,-12.06,1.63,30.158724,-1.934614,1,4
5/2/2024 12:21,-1.4,-0.67,3.79,1.98,-5.65,0.73,30.158726,-1.934615,9,23
5/2/2024 12:21,-1.39,-0.66,3.7,1.44,-5.04,0.78,30.158728,-1.934617,9,23
5/2/2024 12:21,-1.38,-0.68,3.78,2.12,-5.54,0.34,30.15873,-1.934619,0,2
5/2/2024 12:22,-1.42,-0.65,3.78,2.5,-4.69,0.79,30.15873,-1.934618,0,2
5/2/2024 12:22,-1.46,-0.64,3.76,2.09,-7.15,0.18,30.158728,-1.934617,9,23
5/2/2024 12:22,-1.44,-0.64,3.85,1.97,-2.64,0.66,30.158728,-1.934617,9,23
5/2/2024 12:22,-1.42,-0.66,3.74,1.85,-4.75,0.81,30.15873,-1.934618,9,23
5/2/2024 12:22,-1.4,-0.64,3.75,2.06,-5.39,0.52,30.15873,-1.934618,0,1
5/2/2024 12:22,-1.35,-0.69,3.79,1.82,-5.53,0.9,30.15873,-1.934619,9,23
5/2/2024 12:22,-1.35,-0.67,3.78,1.82,-6.52,0.67,30.15873,-1.93462,9,23
5/2/2024 12:22,-1.39,-0.63,3.77,1.89,-5.39,0.61,30.158731,-1.934621,9,23
5/2/2024 12:22,-1.43,-0.66,3.78,2.31,-5.42,0.67,30.158731,-1.934621,2,6
5/2/2024 12:22,-1.43,-0.63,3.75,2.15,-5.5,0.96,30.158731,-1.93462,9,23
5/2/2024 12:22,-1.41,-0.65,3.79,1.94,-5.91,0.67,30.158731,-1.934619,9,23
5/2/2024 12:22,-1.41,-0.65,3.75,1.92,-5.24,0.85,30.158733,-1.934618,9,23
5/2/2024 12:22,-1.41,-0.68,3.76,1.82,-5.65,0.56,30.158731,-1.934618,0,1
5/2/2024 12:22,-1.41,-0.63,3.8,2.14,-5.59,0.41,30.158733,-1.934618,9,23
5/2/2024 12:22,-1.42,-0.66,3.77,2.18,-5.51,0.53,30.158733,-1.934617,9,23
5/2/2024 12:22,-1.43,-0.66,3.76,2.37,-5.71,0.44,30.158735,-1.934616,9,23
5/2/2024 12:22,-1.43,-0.67,3.76,2.21,-5.63,0.49,30.158737,-1.934615,0,2
5/2/2024 12:22,-1.39,-0.66,3.76,2.26,-5.51,0.63,30.158737,-1.934617,9,23
5/2/2024 12:22,-1.41,-0.68,3.81,2.52,-5.57,0.6,30.158739,-1.934615,9,23
5/2/2024 12:22,-1.42,-0.66,3.78,2.08,-5.79,0.9,30.158741,-1.934615,9,24
5/2/2024 12:22,-1.42,-0.65,3.77,2.46,-5.63,0.34,30.158741,-1.934616,0,1
5/2/2024 12:22,-1.42,-0.63,3.77,2.02,-5.86,0.69,30.158743,-1.934617,9,23
5/2/2024 12:23,-1.4,-0.64,3.8,2.14,-5.4,0.9,30.158745,-1.934617,9,23
5/2/2024 12:23,-1.36,-0.65,3.6,0.95,-1.63,0.63,30.158745,-1.934619,9,23
5/2/2024 12:23,-1.42,-0.67,3.79,1.83,-5.51,0.7,30.158745,-1.934621,0,2
5/2/2024 12:23,-1.59,-0.52,3.7,3.01,-6.9,2.98,30.158743,-1.934622,0,1
5/2/2024 12:23,-1.4,-0.64,3.76,2.11,-5.44,0.75,30.158743,-1.934624,9,23
5/2/2024 12:23,-1.41,-0.64,3.77,2.37,-5.86,0.5,30.158743,-1.934627,9,23
5/2/2024 12:23,-1.41,-0.61,3.85,2.87,-4.06,1.1,30.158741,-1.934631,9,23
5/2/2024 12:23,-1.41,-0.66,3.76,2.27,-5.08,0.72,30.158739,-1.934634,0,2
5/2/2024 12:23,-1.41,-0.66,3.75,2.23,-4.98,0.69,30.158739,-1.934636,9,23
5/2/2024 12:23,-1.4,-0.66,3.75,2.02,-5.56,0.53,30.158739,-1.934639,9,23
5/2/2024 12:23,-1.41,-0.63,3.79,1.89,-6.55,0.85,30.158739,-1.934644,9,23
5/2/2024 12:23,-1.4,-0.65,3.77,2.15,-5.88,0.93,30.158739,-1.934651,0,1
5/2/2024 12:23,-1.44,-0.66,3.72,2.23,-5.73,0.6,30.158739,-1.934655,1,2
5/2/2024 12:23,-1.42,-0.68,3.77,2.02,-5.62,0.55,30.158739,-1.93466,9,23
5/2/2024 12:23,-1.4,-0.63,3.78,1.68,-5.5,0.67,30.158739,-1.934662,9,23
5/2/2024 12:23,-1.42,-0.65,3.77,2.11,-5.19,0.76,30.158737,-1.934664,1,3
5/2/2024 12:23,-1.42,-0.65,3.77,2.03,-5.85,0.85,30.158737,-1.934667,2,6
5/2/2024 12:23,-1.42,-0.66,3.77,2.21,-5.76,0.64,30.158737,-1.934671,9,23
5/2/2024 12:23,-1.4,-0.65,3.76,2.08,-5.31,0.64,30.158737,-1.934671,9,23
5/2/2024 12:23,-1.43,-0.65,3.77,2.15,-5.51,0.49,30.158737,-1.934669,9,23
5/2/2024 12:23,-1.39,-0.68,3.77,2.21,-5.13,0.5,30.158739,-1.934668,0,1
5/2/2024 12:23,-1.43,-0.67,3.78,2.24,-5.37,0.67,30.158739,-1.934667,9,23
5/2/2024 12:24,-1.41,-0.66,3.77,2.12,-5.56,0.93,30.158739,-1.934665,9,23
5/2/2024 12:24,-1.44,-0.7,3.82,1.91,-6.26,0.69,30.158739,-1.934659,9,23
5/2/2024 12:24,-1.28,-0.75,4.03,2.55,-4.89,0.84,30.158739,-1.934655,1,2
5/2/2024 12:24,-1.5,-0.55,3.88,2.44,-2.78,0.92,30.158739,-1.934651,1,3
5/2/2024 12:24,-1.23,-0.62,3.61,1.89,-1.24,1.19,30.158739,-1.934648,9,23
5/2/2024 12:24,-1.31,-0.54,3.6,2.37,-9.83,0.41,30.158739,-1.934646,9,23
5/2/2024 12:24,-1.35,-0.65,3.78,0.49,-2.82,0.34,30.158739,-1.934644,9,23
5/2/2024 12:24,-1.39,-0.67,3.72,0.52,-6.37,0.4,30.158739,-1.934642,0,1
5/2/2024 12:24,-1.8,-0.62,4.07,0.32,-6.98,-1.11,30.158739,-1.93464,9,23
5/2/2024 12:24,-1.41,-0.7,3.85,2.34,-3.69,0.53,30.158739,-1.934638,9,23
5/2/2024 12:24,-1.39,-0.7,3.84,1.73,-4.24,0.7,30.158739,-1.934636,9,23
5/2/2024 12:24,-1.48,-0.6,3.75,2.61,3.15,1.68,30.158739,-1.934633,0,1
5/2/2024 12:24,-1.34,-0.7,3.67,-0.09,2.6,1.31,30.158739,-1.934631,0,2
5/2/2024 12:24,-1.48,-0.66,3.71,3.6,-13.83,1.73,30.158735,-1.934629,8,21
5/2/2024 12:24,-1.44,-0.62,4.01,0.73,-10.18,0.08,30.158726,-1.934629,8,21
5/2/2024 12:24,-1.17,-0.29,3.75,5.37,5.86,-2.9,30.15871,-1.93463,11,28
