Time,Accelerometer X,Accelerometer Y,Accelerometer Z,Longitude,Latitude,Ultrasonic (inches),Ultrasonic (cm)
5/2/2024 10:46,-0.55,0.2,4.08,0,0,17,44
5/2/2024 10:46,-0.51,0.38,3.13,0,0,22,57
5/2/2024 10:46,-0.69,-0.24,3.91,0,0,23,59
5/2/2024 10:46,-0.46,-0.02,4.61,0,0,21,55
5/2/2024 10:46,-0.2,0.54,4.17,0,0,9,23
5/2/2024 10:46,-0.74,0.02,4.3,0,0,17,44
5/2/2024 10:46,-0.55,0.08,4.29,0,0,33,86
5/2/2024 10:46,-0.67,0.13,3.83,0,0,86,221
5/2/2024 10:46,-0.54,0.34,3.44,0,0,13,34
5/2/2024 10:46,-0.78,0.55,3.39,0,0,19,49
5/2/2024 10:46,-0.55,-0.14,4.73,0,0,20,53
5/2/2024 10:46,-0.65,-0.15,4.18,0,0,17,43
5/2/2024 10:46,-0.82,-0.08,4.02,0,0,22,57
5/2/2024 10:46,-0.77,0.44,4.18,0,0,26,67
5/2/2024 10:47,-0.62,-0.24,4,0,0,33,85
5/2/2024 10:47,-0.6,0.39,3.63,0,0,471,1202
5/2/2024 10:47,-0.99,0.11,3.55,0,0,17,45
5/2/2024 10:47,-2.25,1.37,3.86,0,0,15,38
5/2/2024 10:47,-0.72,0.18,4.34,0,0,19,49
5/2/2024 10:47,-0.42,-0.17,4.1,0,0,18,47
