Time,Accelerometer X,Accelerometer Y,Accelerometer Z,Longitude,Latitude,Ultrasonic (inches),Ultrasonic (cm)
2024-05-02 10:34:25,-0.73,-0.14,3.99,0.000000,0.000000,29,76
2024-05-02 10:34:27,-0.57,-0.07,4.04,0.000000,0.000000,27,69
2024-05-02 10:34:30,-0.96,-0.05,3.70,0.000000,0.000000,65,166
2024-05-02 10:34:32,-0.55,-0.03,4.16,0.000000,0.000000,35,91
2024-05-02 10:34:35,-0.84,-0.18,5.35,0.000000,0.000000,32,82
2024-05-02 10:34:37,-0.92,-0.88,4.01,0.000000,0.000000,55,142
2024-05-02 10:34:40,-0.71,-0.26,3.85,0.000000,0.000000,33,84
2024-05-02 10:34:42,-0.88,-0.63,4.89,0.000000,0.000000,28,72
2024-05-02 10:34:45,-0.85,-0.37,3.62,0.000000,0.000000,62,159
2024-05-02 10:34:48,-0.51,-0.47,3.78,0.000000,0.000000,29,75
2024-05-02 10:34:50,-0.97,-0.18,3.92,0.000000,0.000000,471,1202
2024-05-02 10:34:53,-0.90,-1.18,4.61,0.000000,0.000000,40,103
2024-05-02 10:34:55,-0.68,-0.57,4.18,0.000000,0.000000,30,76
2024-05-02 10:34:57,-0.76,-0.77,3.71,0.000000,0.000000,30,77
2024-05-02 10:35:00,-0.55,-0.33,6.63,0.000000,0.000000,47,121
2024-05-02 10:35:03,-0.57,-0.42,4.29,0.000000,0.000000,23,60
2024-05-02 10:35:05,-0.28,-0.57,3.08,0.000000,0.000000,151,386
2024-05-02 10:35:07,-0.89,-0.36,3.98,0.000000,0.000000,60,154
2024-05-02 10:35:10,-0.53,-0.75,4.64,0.000000,0.000000,36,92
2024-05-02 10:35:13,-0.87,-0.74,3.79,0.000000,0.000000,471,1202
2024-05-02 10:35:15,-0.35,-0.45,4.06,0.000000,0.000000,30,78
2024-05-02 10:35:18,-0.55,-0.54,4.83,0.000000,0.000000,471,1202
2024-05-02 10:35:20,-0.54,-0.90,4.72,0.000000,0.000000,64,164
2024-05-02 10:35:23,-0.66,-0.39,3.77,0.000000,0.000000,186,476
2024-05-02 10:35:25,-0.47,-0.75,4.26,0.000000,0.000000,27,70
2024-05-02 10:35:28,-0.72,-0.46,3.64,0.000000,0.000000,430,1098
2024-05-02 10:35:30,-0.72,-0.13,4.58,0.000000,0.000000,13,33
2024-05-02 10:35:33,0.68,0.15,3.96,0.000000,0.000000,4,11
