Time,Accelerometer X,Accelerometer Y,Accelerometer Z,Longitude,Latitude,Ultrasonic (inches),Ultrasonic (cm)
2024-05-02 10:41:30,-0.64,-0.31,4.01,0.000000,0.000000,36,92
2024-05-02 10:41:33,-0.66,-0.33,3.83,0.000000,0.000000,2,6
2024-05-02 10:41:35,-0.43,-0.27,3.89,0.000000,0.000000,46,118
2024-05-02 10:41:38,-0.38,-0.48,4.74,0.000000,0.000000,2,6
2024-05-02 10:41:40,-0.59,-0.31,3.68,0.000000,0.000000,71,182
2024-05-02 10:41:43,-0.56,-0.14,3.74,0.000000,0.000000,5,13
2024-05-02 10:41:45,-0.62,-0.03,3.50,0.000000,0.000000,471,1202
2024-05-02 10:41:48,-0.81,-0.21,3.91,0.000000,0.000000,52,135
2024-05-02 10:41:50,-0.55,-0.02,3.88,0.000000,0.000000,55,141
2024-05-02 10:41:53,-0.57,-0.30,4.55,0.000000,0.000000,47,120
2024-05-02 10:41:56,-0.57,-0.06,3.75,0.000000,0.000000,25,66
2024-05-02 10:41:58,-0.61,-0.12,3.27,0.000000,0.000000,37,96
2024-05-02 10:42:00,-0.38,-0.28,3.76,0.000000,0.000000,45,117
2024-05-02 10:42:03,-0.61,-0.15,4.91,0.000000,0.000000,27,70
2024-05-02 10:42:06,-0.43,-1.70,3.86,0.000000,0.000000,21,55
2024-05-02 10:42:08,-0.60,0.10,3.22,0.000000,0.000000,62,160
2024-05-02 10:42:11,-0.30,-0.15,3.48,0.000000,0.000000,29,76
2024-05-02 10:42:13,-0.50,-0.68,5.89,0.000000,0.000000,28,73
2024-05-02 10:42:15,-0.47,-0.30,3.28,0.000000,0.000000,43,111
2024-05-02 10:42:18,-0.47,-0.37,5.26,0.000000,0.000000,69,176
2024-05-02 10:42:21,-0.58,-0.15,3.89,0.000000,0.000000,471,1202
2024-05-02 10:42:23,-0.17,-0.35,4.06,0.000000,0.000000,30,77
2024-05-02 10:42:26,-0.51,-0.07,3.17,0.000000,0.000000,55,142
2024-05-02 10:42:28,-0.76,-0.48,3.77,0.000000,0.000000,38,98
