Time,Accelerometer X,Accelerometer Y,Accelerometer Z,Longitude,Latitude,Ultrasonic (inches),Ultrasonic (cm)
2024-04-29 17:06:32,16416,3244,3676,0.000000,0.000000,11,29
2024-04-29 17:07:10,16460,3316,3728,30.157381,-1.933852,0,1
2024-04-29 17:07:48,16440,3236,3672,30.157387,-1.933855,0,1
2024-04-29 17:08:26,18964,10064,4532,30.157129,-1.933550,0,1
2024-04-29 17:09:04,15392,6748,2640,30.157259,-1.933321,8,20
2024-04-29 17:09:41,15964,6644,2248,30.157265,-1.933327,17,44
2024-04-29 17:10:19,14836,8448,2832,30.157860,-1.933056,12,32
2024-04-29 17:10:57,14652,5748,752,30.157860,-1.933010,0,1
2024-04-29 17:11:35,14572,7880,2516,30.157232,-1.933309,2,6
2024-04-29 17:12:13,12716,5672,1564,30.157127,-1.933524,1,4
2024-04-29 17:12:51,14576,7632,2980,30.157238,-1.933730,12,31
2024-04-29 17:13:28,15816,8088,9236,30.157335,-1.933886,12,30
2024-04-29 17:14:06,12488,4544,1716,30.155657,-1.934578,11,30
2024-04-29 17:14:44,17100,3628,1936,30.154970,-1.934673,0,1
2024-04-29 17:15:22,17676,7848,2928,30.151621,-1.935117,3,7
2024-04-29 17:16:00,14232,3372,4180,30.148621,-1.935692,2,5
2024-04-29 17:16:38,9968,5616,5760,30.150251,-1.936605,11,29
2024-04-29 17:17:15,15580,7812,-6120,30.155521,-1.938041,11,29
2024-04-29 17:17:53,15620,7900,484,30.159309,-1.940620,12,30
2024-04-29 17:18:31,19892,6280,3704,30.162415,-1.942933,0,1
2024-04-29 17:19:09,16876,7956,-916,30.160786,-1.939770,0,1
2024-04-29 17:19:47,11400,3752,-2624,30.159542,-1.939008,0,1
2024-04-29 17:20:25,4432,332,-2672,30.157093,-1.936345,0,1
2024-04-29 17:21:03,13324,7264,3672,30.157215,-1.934231,11,29
2024-04-29 17:21:40,20576,13616,896,30.158316,-1.935077,12,30
2024-04-29 17:22:18,17516,6240,5164,30.158669,-1.934461,12,32
2024-04-29 17:22:56,15672,6056,3628,30.158710,-1.934421,0,1
